127.0.0.1 - - [23/Dec/2019:19:28:51 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:28:51 +0900] "GET /UI03_JS/index.html HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:28:51 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:28:54 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:28:56 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:29:11 +0900] "GET /UI03_JS/js15_window03.html HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:31:07 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:33:21 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:34:31 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:41:58 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:04:56 +0900] "GET /UI03_JS/js06_dom.html HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:05:02 +0900] "GET /UI03_JS/js07_object.html HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:24:25 +0900] "GET /UI03_JS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:24:26 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:24:27 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:24:30 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:24:49 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:25:00 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:25:02 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:42:29 +0900] "GET /UI03_JS/js15_window03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:20:46:03 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [23/Dec/2019:21:02:25 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [23/Dec/2019:21:02:29 +0900] "GET /UI03_JS/js15_window02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2019:21:47:57 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [23/Dec/2019:21:47:58 +0900] "GET /UI03_JS/js15_window01.html HTTP/1.1" 304 -
